# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
303.9261,646.5209,65.8065,642.7332,-7.0961,643.1154,-6.3277,654.5344,-7.8973
305.4517,646.4986,43.5214,642.7403,-0.0241,643.1112,-10.4572,654.4663,-75.9921
306.8972,646.5059,50.8154,642.7276,-12.7349,643.1280,6.3572,654.5435,1.1699
308.4351,646.5004,45.3108,642.7266,-13.6964,643.0837,-37.9821,654.5560,13.7021
310.0018,646.5043,49.2424,642.7247,-15.6203,643.1116,-10.0468,654.5341,-8.2464
311.5358,646.4820,26.9668,642.7373,-2.9470,643.0848,-36.9320,654.5391,-3.2015
313.1064,646.5071,52.0123,642.7258,-14.4604,643.1032,-18.4435,654.5574,15.1228
314.8162,646.5198,64.7945,642.7296,-10.7052,643.1124,-9.3385,654.5695,27.1309
316.4069,646.4992,44.1209,642.7355,-4.8203,643.0905,-31.1480,654.5685,26.2212
317.9668,646.4981,43.0563,642.7351,-5.1414,643.1214,-0.3089,654.5595,17.1916
319.5399,646.4884,33.3768,642.7432,2.9382,643.1289,7.1668,654.5526,10.2313
321.4348,646.5037,48.6120,642.7509,10.6459,643.1206,-1.1318,654.5007,-41.5879
323.9171,646.5194,64.3280,642.7304,-9.8632,643.1162,-5.5125,654.5524,10.1016
325.5124,646.4851,30.0799,642.7275,-12.8191,643.1172,-4.4955,654.5645,22.1925
326.9678,646.4788,23.7162,642.7280,-12.2749,643.1248,3.1273,654.5152,-27.1283
328.4563,646.4943,39.3023,642.7334,-6.8871,643.1157,-6.0040,654.5502,7.9293
329.8906,646.4986,43.5591,642.7211,-19.2033,643.1322,10.4681,654.4593,-83.0416
331.8269,646.5062,51.1860,642.7367,-3.6346,643.0912,-30.5108,654.6203,77.9861
333.5082,646.4871,32.0278,642.7412,0.9510,643.0829,-38.7918,654.5052,-37.1603
335.1129,646.5009,45.8930,642.7161,-24.2131,643.0957,-26.0372,654.5442,1.9038
336.7778,646.5013,46.2785,642.7298,-10.4706,643.0922,-29.5010,654.5389,-3.3924
338.3530,646.4818,26.7408,642.7172,-23.0935,643.0953,-26.4055,654.5001,-42.2636
340.0043,646.4815,26.4346,642.7554,15.1479,643.1175,-4.2185,654.5887,46.3334
342.9119,646.5160,60.9853,642.7527,12.3694,643.1084,-13.2772,654.5891,46.7897
345.2367,646.4866,31.5730,642.7344,-5.9160,643.1116,-10.1252,654.5441,1.7474
346.7207,646.4703,15.2509,642.7275,-12.7834,643.0966,-25.0579,654.5613,19.0154
348.1605,646.5190,63.9092,642.7166,-23.6960,643.1075,-14.2244,654.5640,21.6818
349.6008,646.5034,48.3740,642.7203,-19.9804,643.1061,-15.5460,654.5423,-0.0215
351.0412,646.4896,34.5727,642.7257,-14.5568,643.1269,5.2193,654.4921,-50.2086
