name,points,p2p_pm,std_pm
Fourier+B5+SG9+Exp0.2,36,17.846696338551737,4.852928684513069
Fourier+B3+SG3+Exp0.1,60,17.855511993616346,4.850099025534722
Adaptive+B2+SG5+Exp0.1,91,17.862446019989875,4.4718318827033405
Adaptive+B2+SG5+Exp0.1,91,17.862446019989875,4.4718318827033405
Direct+B5+SG9+Exp0.2,36,17.889995059590547,5.346127830471003
Adaptive+B4+SG3+Exp0.2,45,17.994780691310552,4.404904400479435
Adaptive+B4+SG11+Exp0.1,45,18.061203435081552,5.129528845522728
Fourier+B5+SG11+Exp0.1,36,18.06438238645569,5.472478976887563
Adaptive+B4+SG7+Exp0.2,45,18.08141395065377,4.848606093577311
Adaptive+B5+SG7+Exp0.2,36,18.082060412780265,4.770751164082457
Fourier+B5+SG7+Exp0.1,36,18.107851291347288,5.452539554240334
Adaptive+B5+SG3+Exp0.2,36,18.124384658335657,4.722907893881821
Adaptive+B3+SG3+Exp0.1,60,18.12935208613453,5.111148772433858
Fourier+B5+SG7+Exp0.1,36,18.166057765483856,5.6830623006174195
Direct+B5+SG9+Exp0.1,36,18.172945632272786,5.4871394110742475
Fourier+B5+SG3+Exp0.3,36,18.229356121423734,4.070116000672523
Adaptive+B4+SG5+Exp0.1,45,18.265877194266977,5.378714057618219
Fourier+B5+SG11+Exp0.3,36,18.26879842155904,4.584148026093804
Adaptive+B5+SG5+Exp0.3,36,18.26954025239047,4.694626787410575
Direct+B5+SG7+Exp0.2,36,18.301244957228846,5.46442231965998
Adaptive+B5+SG11+Exp0.2,36,18.302861532447423,4.778705412066586
Direct+B5+SG7+Exp0.1,36,18.317365419875387,5.505538171618622
Direct+B5+SG11+Exp0.2,36,18.57344464065136,5.307934584506948
Direct+B5+SG5+Exp0.2,36,18.589457091479744,5.597729003959373
Fourier+B4+SG5+Exp0.2,45,18.608227246431852,4.593573103987842
Fourier+B3+SG7+Exp0.1,60,18.619816262685163,5.501017043181181
Adaptive+B4+SG5+Exp0.2,45,18.64044988394653,4.826825823924744
Fourier+B4+SG3+Exp0.2,45,18.699559654692166,3.7671343549533503
Fourier+B5+SG11+Exp0.1,36,18.758661013066558,5.851266441072278
Adaptive+B4+SG7+Exp0.1,45,18.76068569504241,5.607802140945369
Fourier+B5+SG9+Exp0.1,36,18.791105287732535,5.642431549106852
Fourier+B5+SG9+Exp0.3,36,18.810130102792755,4.684452263814544
Adaptive+B3+SG3+Exp0.1,60,18.815612875073384,5.272786459795015
Fourier+B4+SG11+Exp0.2,45,18.83621114188827,4.781985103248503
Fourier+B4+SG9+Exp0.2,45,18.859372694123522,4.670191276809297
Fourier+B5+SG3+Exp0.2,36,18.869990940402204,4.447673116732741
Fourier+B4+SG7+Exp0.2,45,18.930802333102292,4.897091805894755
Adaptive+B2+SG5+Exp0.1,91,18.969753504620712,4.703881004337604
Direct+B5+SG3+Exp0.2,36,19.000262625922915,5.372242236014223
Fourier+B5+SG9+Exp0.1,36,19.065528080545846,5.914922970543613
Adaptive+B5+SG5+Exp0.2,36,19.0669729693127,5.64470371470612
Adaptive+B5+SG11+Exp0.1,36,19.068294869384772,5.647335613527019
Adaptive+B5+SG7+Exp0.1,36,19.177553272015757,5.800260563450723
Adaptive+B5+SG9+Exp0.2,36,19.206752964805673,4.954590066135272
Fourier+B2+SG9+Exp0.1,91,19.23236643335713,5.171590102504774
Fourier+B2+SG9+Exp0.1,91,19.23236643335713,5.171590102504774
Adaptive+B5+SG7+Exp0.3,36,19.245925584527868,4.72798987716429
Fourier+B4+SG3+Exp0.2,45,19.25340758191396,4.419277073703127
Adaptive+B3+SG7+Exp0.1,60,19.25728881815303,5.515232866129174
Direct+B4+SG5+Exp0.1,45,19.265320103613703,5.79423141697821
Fourier+B4+SG7+Exp0.3,45,19.29788605093563,4.529032644881191
Adaptive+B5+SG3+Exp0.3,36,19.340365170137375,4.43990428646904
Adaptive+B2+SG7+Exp0.1,91,19.34967686395339,4.961899577330094
Adaptive+B2+SG7+Exp0.1,91,19.34967686395339,4.961899577330094
